trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9900003333200006}",25,0,-50.470872244770085,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.980002666240069}",30,0,-240.86293946956638,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 5}",0
3,False,"{'a': 0.05, 'e': 0.9700089967611799}",20,0,-97.93295609003356,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.9600213196888364}",25,0,-107.69606167557376,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.95004162504212}",20,0,-120.07270948645612,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.9400718964708565}",25,0,-223.96583250901307,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.05, 'e': 0.930114109683571}",20,0,-128.8231866299999,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.9201702308888686}",20,0,-139.05787049472184,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.9102422152528399}",30,0,-197.27002197608874,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
10,False,"{'a': 0.05, 'e': 0.9003320053750442}",25,0,5.115403015226836,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.8904415297855705}",30,0,-182.59196103804805,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.05, 'e': 0.8805727014656142}",25,0,-68.57041293990224,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.8707274163939417}",35,0,-246.91120913339188,"{0: 19, 1: 4, 2: 7, 3: 1, 4: 4}",0
14,False,"{'a': 0.05, 'e': 0.8609075521215419}",20,15,-2.3429161764301174,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.851114966376682}",30,0,-9.28970867415733,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
