trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.995}",25,0,-183.13212635354665,"{0: 12, 1: 4, 2: 4, 3: 3, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.99}",35,0,-149.07257638676003,"{0: 26, 1: 2, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.05, 'e': 0.985}",25,0,-28.991480675857975,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.98}",20,10,-0.9058994459347554,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.05, 'e': 0.975}",25,0,-177.3744221385032,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.97}",25,0,-54.905056832596294,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.965}",20,0,-41.2603367531661,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.05, 'e': 0.96}",20,12,-10.966028466367229,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.955}",20,0,-76.08670045149242,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.95}",25,0,-180.82485558505326,"{0: 11, 1: 0, 2: 11, 3: 2, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.945}",20,2,-24.937228857869435,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.05, 'e': 0.94}",25,0,-157.5368556825854,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.05, 'e': 0.935}",30,0,-173.24719218995875,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.9299999999999999}",30,0,-154.667983047616,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.05, 'e': 0.925}",30,0,-159.29447098683335,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.05, 'e': 0.92}",25,0,-94.70781744993708,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.915}",30,2,-130.1916831367492,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 2}",1
18,False,"{'a': 0.05, 'e': 0.91}",25,16,16.5323868402337,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05, 'e': 0.905}",25,0,-124.58000441874167,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.05, 'e': 0.9}",25,0,-103.82180797436997,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.895}",30,0,-120.6546321285436,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.89}",25,6,-8.607627304464431,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.05, 'e': 0.885}",25,0,-144.19193159989186,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
24,False,"{'a': 0.05, 'e': 0.88}",25,0,-64.01080329481543,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
25,False,"{'a': 0.05, 'e': 0.875}",25,0,-84.6361665864535,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.05, 'e': 0.87}",20,0,-27.338789086060917,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
27,False,"{'a': 0.05, 'e': 0.865}",20,0,-142.62873271505603,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.05, 'e': 0.86}",30,0,-109.27065098571937,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.855}",25,6,-88.73608699150238,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 0}",1
30,False,"{'a': 0.05, 'e': 0.85}",20,0,-35.581399964927364,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
31,False,"{'a': 0.05, 'e': 0.845}",25,9,7.403538934888607,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.05, 'e': 0.84}",25,0,-71.21883029643172,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.05, 'e': 0.835}",20,0,-61.17109337233765,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
34,False,"{'a': 0.05, 'e': 0.83}",25,0,-142.38998516252678,"{0: 15, 1: 2, 2: 3, 3: 4, 4: 1}",0
35,False,"{'a': 0.05, 'e': 0.825}",25,0,-94.03118444623922,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.8200000000000001}",20,0,-81.60237716200317,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
37,False,"{'a': 0.05, 'e': 0.815}",20,0,-65.607436846888,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.05, 'e': 0.81}",25,0,-111.00957318478565,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 0.05, 'e': 0.8049999999999999}",25,0,-12.250666936698638,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.05, 'e': 0.8}",25,0,-50.18648206427665,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.05, 'e': 0.7949999999999999}",25,0,-4.705066229609036,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.05, 'e': 0.79}",20,0,-38.42297940931407,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
43,False,"{'a': 0.05, 'e': 0.785}",35,18,-92.12107811144287,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 1}",1
44,False,"{'a': 0.05, 'e': 0.78}",20,0,-87.59470848837043,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.05, 'e': 0.775}",20,0,-13.107551074353912,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.05, 'e': 0.77}",25,0,-106.6662524256963,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
47,False,"{'a': 0.05, 'e': 0.765}",20,0,-196.41224910568977,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
48,False,"{'a': 0.05, 'e': 0.76}",20,0,-46.066577629015,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.05, 'e': 0.755}",20,0,-75.4163717214889,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
50,False,"{'a': 0.05, 'e': 0.75}",25,12,8.284857675589954,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.05, 'e': 0.745}",20,0,-56.30051102126819,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.05, 'e': 0.74}",20,1,-63.58109528667324,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
53,False,"{'a': 0.05, 'e': 0.735}",20,2,-69.30303632270666,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 0}",1
54,False,"{'a': 0.05, 'e': 0.73}",20,1,-95.9302439937823,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 1}",1
55,False,"{'a': 0.05, 'e': 0.725}",20,12,3.059361621168006,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.05, 'e': 0.72}",20,0,-55.26743905503741,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.05, 'e': 0.715}",20,8,-11.607850064874757,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.05, 'e': 0.71}",25,14,-115.7123621483178,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 2}",1
59,False,"{'a': 0.05, 'e': 0.7050000000000001}",20,5,2.3588624156453255,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.05, 'e': 0.7}",25,0,-153.28262734814956,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
61,False,"{'a': 0.05, 'e': 0.6950000000000001}",35,0,-149.1162618065,"{0: 26, 1: 1, 2: 4, 3: 1, 4: 3}",0
62,False,"{'a': 0.05, 'e': 0.69}",20,0,-24.884894873133984,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.05, 'e': 0.685}",25,10,-21.34266800494067,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.05, 'e': 0.6799999999999999}",30,0,-94.9723183725924,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
65,False,"{'a': 0.05, 'e': 0.675}",25,0,-136.3368397101247,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.05, 'e': 0.6699999999999999}",20,0,-66.38182843778796,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
67,False,"{'a': 0.05, 'e': 0.665}",30,0,2.136206107396558,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.05, 'e': 0.6599999999999999}",20,0,10.111054211221187,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.05, 'e': 0.655}",30,0,-88.80990497054754,"{0: 23, 1: 4, 2: 0, 3: 1, 4: 2}",0
70,False,"{'a': 0.05, 'e': 0.6499999999999999}",20,0,-41.11661203642462,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.05, 'e': 0.645}",20,0,-61.39318328727956,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.05, 'e': 0.64}",20,0,-104.21712298525068,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
73,False,"{'a': 0.05, 'e': 0.635}",25,3,-86.06914456601899,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 1}",1
74,False,"{'a': 0.05, 'e': 0.63}",30,6,3.9897296544449543,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.05, 'e': 0.625}",20,1,-93.57117968496765,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 1}",1
76,False,"{'a': 0.05, 'e': 0.62}",20,0,-44.236712708013854,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
77,False,"{'a': 0.05, 'e': 0.615}",20,8,3.5573600188086347,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.05, 'e': 0.61}",25,0,-65.49522703690592,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.05, 'e': 0.605}",20,11,-0.6638635671821256,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.05, 'e': 0.6}",20,6,-41.53372427246465,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
81,False,"{'a': 0.05, 'e': 0.595}",25,17,-45.18394899587651,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
82,False,"{'a': 0.05, 'e': 0.59}",20,7,-94.41670292135738,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
83,False,"{'a': 0.05, 'e': 0.585}",20,0,-8.771368428974881,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.05, 'e': 0.5800000000000001}",20,12,-11.532669856976332,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
