trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.85}",25,0,-127.3397644017938,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.7224999999999999}",25,0,-87.34737299288427,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.6141249999999999}",25,0,-21.719272526702976,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.5220062499999999}",20,2,-29.516761205165185,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.05, 'e': 0.44370531249999995}",35,0,-49.95471774572293,"{0: 31, 1: 2, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.37714951562499993}",20,0,11.536177396179003,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.05, 'e': 0.3205770882812499}",25,5,-52.00578409894545,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
8,False,"{'a': 0.05, 'e': 0.27249052503906246}",25,2,-68.1477961052679,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.05, 'e': 0.23161694628320306}",20,0,-13.654777529098315,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.1968744043407226}",25,19,-0.32623210152856896,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.05, 'e': 0.1673432436896142}",25,3,-18.365758006963684,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.05, 'e': 0.14224175713617207}",25,0,-113.99641579254289,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
13,False,"{'a': 0.05, 'e': 0.12090549356574626}",20,0,4.859968353731806,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.10276966953088432}",25,1,-22.08064337717428,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.05, 'e': 0.08735421910125167}",20,3,-24.946285821920497,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.05, 'e': 0.07425108623606391}",30,11,-59.63996592344104,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.05, 'e': 0.06311342330065432}",20,6,-25.997365913342968,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.05, 'e': 0.053646409805556176}",20,14,9.396918719863352,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.05, 'e': 0.04559944833472275}",25,13,17.43853781969851,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.03875953108451433}",20,0,1.8168870125938665,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
21,False,"{'a': 0.05, 'e': 0.03294560142183718}",35,0,15.175044510821625,"{0: 33, 1: 0, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.05, 'e': 0.028003761208561607}",30,17,8.935781530440163,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.05, 'e': 0.023803197027277366}",20,0,20.294623661352773,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.05, 'e': 0.02023271747318576}",30,9,33.46129966259195,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.05, 'e': 0.017197809852207896}",25,4,30.016714267403913,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.05, 'e': 0.014618138374376711}",20,10,18.817395410368803,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.05, 'e': 0.012425417618220204}",20,0,24.908386436267623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.05, 'e': 0.010561604975487172}",20,0,24.984005785595105,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.008977364229164097}",25,11,24.737962592806955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.05, 'e': 0.0076307595947894815}",25,0,-10.328444862348363,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
31,False,"{'a': 0.05, 'e': 0.00648614565557106}",25,1,33.75376010400247,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.05, 'e': 0.0055132238072354}",20,5,20.793146101077365,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.05, 'e': 0.00468624023615009}",25,0,29.413537819495712,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.05, 'e': 0.003983304200727577}",20,11,15.114362764813105,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.05, 'e': 0.00338580857061844}",25,0,31.58628306244753,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.0028779372850256738}",35,0,45.31050449726172,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.05, 'e': 0.0024462466922718228}",20,0,-5.098719845732909,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.05, 'e': 0.0020793096884310493}",20,0,-28.80653404478509,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
39,False,"{'a': 0.05, 'e': 0.0017674132351663918}",20,0,25.197159294946044,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.05, 'e': 0.001502301249891433}",25,4,34.40130922140374,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.05, 'e': 0.001276956062407718}",20,10,18.35050035208792,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.05, 'e': 0.0010854126530465604}",25,0,38.86602881612881,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.05, 'e': 0.0009226007550895762}",25,0,18.15942592149187,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.05, 'e': 0.0007842106418261398}",30,3,25.599962244579288,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
