trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9753099120283326}",25,0,-238.02751283616672,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 5}",0
2,False,"{'a': 0.05, 'e': 0.951229424500714}",25,0,-129.22030733574925,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.9277434863285529}",25,0,-169.04292389483246,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.05, 'e': 0.9048374180359595}",30,0,-30.658260471825916,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.8824969025845955}",25,9,-99.4950345142259,"{0: 7, 1: 2, 2: 6, 3: 0, 4: 1}",1
6,False,"{'a': 0.05, 'e': 0.8607079764250578}",35,0,-80.02534297877806,"{0: 26, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.8394570207692074}",20,0,-107.61109420037755,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.8187307530779818}",25,0,-158.06165183727134,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.7985162187593771}",25,0,-140.16893617567297,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,0,-117.31116273494384,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.7595721232249685}",20,0,-86.46612418464683,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.7408182206817179}",25,16,-30.941225672858906,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.05, 'e': 0.7225273536420722}",20,0,-73.33769084789319,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.7046880897187134}",20,0,-77.84164886037648,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.6872892787909722}",25,0,-52.25327062115295,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.6703200460356393}",25,12,-8.07991817873943,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.6537697851298473}",30,0,-7.736615798372109,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.6376281516217733}",30,0,-35.77680360521758,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.05, 'e': 0.62188505646502}",25,0,-118.86364365221486,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.05, 'e': 0.6065306597126334}",25,8,-23.414415434611815,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
21,False,"{'a': 0.05, 'e': 0.5915553643668151}",20,0,-63.10724000556455,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
22,False,"{'a': 0.05, 'e': 0.5769498103804866}",30,0,-73.1588995236186,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.5627048688069557}",30,0,9.115192108623624,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.05, 'e': 0.5488116360940264}",30,0,-36.169826734071954,"{0: 24, 1: 5, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.05, 'e': 0.5352614285189903}",25,0,-101.7474555894854,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.05, 'e': 0.522045776761016}",30,1,-24.786719586605507,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 0}",1
27,False,"{'a': 0.05, 'e': 0.5091564206075492}",20,0,-21.2793156296908,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.05, 'e': 0.49658530379140947}",20,15,11.205896856595869,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
